Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-3.53;-81.39;6.39;-53.90;-173.26;-159.07;242.71;-28.21
2;1;0.050;-0.150;-3.200;-1.88;-22.57;-13.03;-60.51;-73.51;-35.09;123.14;16.19
3;1;0.050;-0.250;-3.224;-2.10;-8.80;-6.15;-35.94;-25.16;-13.98;75.03;16.04
4;1;0.050;-0.350;-3.249;-1.76;-4.62;-3.26;-21.16;-8.27;-13.65;54.59;15.69
5;1;0.050;-0.450;-3.274;-1.28;-2.91;-1.96;-12.33;-2.56;-15.58;42.94;14.99
6;1;0.050;-0.550;-3.298;-0.81;-2.02;-1.31;-7.14;-0.55;-16.79;35.46;13.87
7;1;0.050;-0.650;-3.323;-0.46;-1.47;-0.92;-4.15;0.20;-16.93;30.36;12.39
8;1;0.050;-0.750;-3.348;-0.22;-1.10;-0.64;-2.47;0.44;-16.17;26.75;10.72
9;1;0.050;-0.850;-3.372;-0.06;-0.82;-0.43;-1.54;0.47;-14.84;24.09;9.10
10;1;0.050;-0.950;-3.397;0.02;-0.61;-0.27;-1.04;0.42;-13.17;22.07;7.66
11;1;0.050;-1.050;-3.422;0.07;-0.44;-0.15;-0.77;0.36;-11.37;20.51;6.42
12;1;0.050;-1.150;-3.446;0.08;-0.32;-0.07;-0.60;0.32;-9.71;19.33;5.34
13;1;0.050;-1.250;-3.471;0.09;-0.23;-0.02;-0.46;0.29;-8.46;18.29;4.39
14;1;0.050;-1.350;-3.496;0.09;-0.17;0.01;-0.36;0.21;-7.50;17.12;3.58
15;1;0.050;-1.450;-3.520;0.09;-0.12;0.02;-0.31;0.07;-6.51;15.68;2.90
16;1;0.050;-1.550;-3.545;0.07;-0.08;0.02;-0.29;-0.09;-5.57;14.19;2.31
17;1;0.050;-1.650;-3.570;0.06;-0.05;0.02;-0.23;-0.22;-5.07;12.96;1.72
18;1;0.050;-1.750;-3.595;0.06;-0.04;0.01;-0.15;-0.31;-5.02;11.91;1.12
19;1;0.050;-1.850;-3.619;0.06;-0.04;0.01;-0.07;-0.35;-5.09;10.89;0.54
20;1;0.050;-1.950;-3.644;0.07;-0.04;0.01;0.02;-0.34;-5.18;9.93;-0.05
21;1;0.150;-0.050;-3.200;-0.90;-12.08;9.37;13.96;-35.40;25.63;81.43;-34.37
22;1;0.150;-0.150;-3.224;0.95;-16.25;1.04;0.17;-49.71;-19.46;82.09;-9.20
23;1;0.150;-0.250;-3.248;-0.82;-8.67;-1.83;-13.82;-29.42;-22.10;66.76;2.53
24;1;0.150;-0.350;-3.272;-1.31;-4.79;-1.44;-13.67;-14.64;-21.63;52.85;7.00
25;1;0.150;-0.450;-3.296;-1.05;-2.96;-0.96;-10.47;-7.60;-21.08;42.77;8.86
26;1;0.150;-0.550;-3.320;-0.66;-2.02;-0.66;-7.59;-4.34;-20.26;35.49;9.33
27;1;0.150;-0.650;-3.344;-0.36;-1.47;-0.47;-5.56;-2.73;-18.84;30.24;8.96
28;1;0.150;-0.750;-3.368;-0.16;-1.11;-0.32;-4.15;-1.86;-16.90;26.41;8.12
29;1;0.150;-0.850;-3.392;-0.05;-0.84;-0.21;-3.12;-1.32;-14.73;23.51;7.10
30;1;0.150;-0.950;-3.416;0.01;-0.62;-0.11;-2.35;-0.90;-12.54;21.17;6.09
31;1;0.150;-1.050;-3.440;0.03;-0.45;-0.05;-1.74;-0.55;-10.54;19.29;5.14
32;1;0.150;-1.150;-3.464;0.05;-0.32;-0.01;-1.21;-0.34;-8.98;17.91;4.32
33;1;0.150;-1.250;-3.488;0.06;-0.24;0.01;-0.80;-0.21;-7.89;16.98;3.63
34;1;0.150;-1.350;-3.512;0.07;-0.20;0.03;-0.57;-0.08;-6.94;16.17;3.02
35;1;0.150;-1.450;-3.536;0.07;-0.16;0.04;-0.50;0.03;-5.98;15.12;2.42
36;1;0.150;-1.550;-3.560;0.05;-0.11;0.03;-0.46;-0.01;-5.34;13.84;1.79
37;1;0.150;-1.650;-3.585;0.05;-0.07;0.03;-0.32;-0.11;-5.17;12.51;1.13
38;1;0.150;-1.750;-3.609;0.05;-0.05;0.02;-0.15;-0.15;-5.22;11.27;0.54
39;1;0.150;-1.850;-3.633;0.06;-0.04;0.02;-0.04;-0.14;-5.25;10.13;0.05
40;1;0.150;-1.950;-3.657;0.07;-0.03;0.01;0.05;-0.13;-5.32;9.17;-0.35
41;1;0.250;-0.050;-3.224;-2.01;-4.24;4.16;11.45;-3.64;12.41;60.98;-23.44
42;1;0.250;-0.150;-3.248;-1.15;-6.84;2.11;13.88;-20.68;-12.36;58.97;-16.24
43;1;0.250;-0.250;-3.271;-1.21;-5.25;0.13;2.15;-18.43;-20.98;53.87;-5.67
44;1;0.250;-0.350;-3.295;-1.30;-3.48;-0.38;-3.88;-11.89;-23.26;46.82;0.26
45;1;0.250;-0.450;-3.318;-1.08;-2.38;-0.40;-5.13;-7.27;-23.15;40.26;3.47
46;1;0.250;-0.550;-3.341;-0.75;-1.67;-0.33;-4.66;-4.51;-21.77;34.46;5.06
47;1;0.250;-0.650;-3.365;-0.46;-1.21;-0.24;-3.76;-2.84;-19.70;29.79;5.57
