Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-14.15;-74.18;5.72;-57.98;-195.81;-206.91;13.74;-23.14
2;1;0.050;-0.150;-3.200;-11.17;-26.02;-9.95;-88.26;-108.68;-120.01;-32.80;-17.05
3;1;0.050;-0.250;-3.224;-8.22;-12.23;-4.55;-53.73;-44.17;-89.07;-40.06;-14.77
4;1;0.050;-0.350;-3.249;-5.59;-7.04;-2.76;-33.85;-19.48;-76.82;-41.82;-16.06
5;1;0.050;-0.450;-3.274;-3.63;-4.49;-2.09;-22.09;-9.62;-69.18;-41.73;-17.70
6;1;0.050;-0.550;-3.298;-2.29;-3.03;-1.72;-14.97;-5.33;-62.95;-40.96;-18.93
7;1;0.050;-0.650;-3.323;-1.38;-2.11;-1.44;-10.56;-3.31;-57.08;-39.79;-19.68
8;1;0.050;-0.750;-3.348;-0.78;-1.48;-1.16;-7.72;-2.31;-51.29;-38.24;-19.96
9;1;0.050;-0.850;-3.372;-0.39;-1.02;-0.90;-5.77;-1.74;-45.61;-36.33;-19.80
10;1;0.050;-0.950;-3.397;-0.15;-0.69;-0.66;-4.36;-1.32;-40.08;-34.15;-19.28
11;1;0.050;-1.050;-3.422;-0.01;-0.44;-0.46;-3.32;-0.98;-34.78;-31.79;-18.46
12;1;0.050;-1.150;-3.446;0.07;-0.26;-0.31;-2.50;-0.67;-29.85;-29.24;-17.35
13;1;0.050;-1.250;-3.471;0.13;-0.13;-0.21;-1.84;-0.39;-25.47;-26.50;-16.00
14;1;0.050;-1.350;-3.496;0.17;-0.04;-0.16;-1.32;-0.21;-21.55;-23.69;-14.55
15;1;0.050;-1.450;-3.520;0.18;0.01;-0.12;-0.93;-0.19;-17.95;-21.08;-13.27
16;1;0.050;-1.550;-3.545;0.16;0.02;-0.08;-0.63;-0.25;-14.90;-18.86;-12.28
17;1;0.050;-1.650;-3.570;0.13;0.03;-0.06;-0.44;-0.24;-12.77;-17.10;-11.49
18;1;0.050;-1.750;-3.595;0.14;0.04;-0.06;-0.32;-0.20;-11.43;-15.78;-10.79
19;1;0.050;-1.850;-3.619;0.15;0.04;-0.06;-0.23;-0.16;-10.54;-14.91;-10.15
20;1;0.050;-1.950;-3.644;0.15;0.03;-0.07;-0.15;-0.07;-9.96;-14.39;-9.56
21;1;0.150;-0.050;-3.200;-8.39;-13.24;5.11;36.27;-54.80;-57.09;-65.95;5.56
22;1;0.150;-0.150;-3.224;-7.82;-16.52;1.14;3.51;-66.21;-79.94;-50.91;-3.86
23;1;0.150;-0.250;-3.248;-6.99;-10.01;-1.16;-16.53;-41.58;-75.02;-43.62;-9.09
