Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-19.78;-12.73;0.01;0.19;-89.78;-105.00;-258.89;0.00
2;1;0.050;-0.150;-3.200;-12.57;-8.51;1.69;-47.10;-57.32;-114.28;-188.23;-47.85
3;1;0.050;-0.250;-3.224;-8.37;-5.94;0.92;-30.58;-24.91;-99.69;-136.99;-44.24
4;1;0.050;-0.350;-3.249;-5.29;-4.04;-0.13;-21.08;-13.28;-86.05;-113.96;-44.41
5;1;0.050;-0.450;-3.274;-3.21;-2.74;-0.72;-15.26;-8.22;-74.77;-100.29;-44.75
6;1;0.050;-0.550;-3.298;-1.96;-1.85;-0.95;-11.53;-5.63;-65.51;-91.13;-44.32
7;1;0.050;-0.650;-3.323;-1.15;-1.25;-1.00;-9.05;-4.19;-57.72;-84.37;-43.05
8;1;0.050;-0.750;-3.348;-0.62;-0.83;-0.93;-7.26;-3.33;-50.99;-78.86;-41.10
9;1;0.050;-0.850;-3.372;-0.28;-0.53;-0.79;-5.84;-2.74;-45.04;-73.95;-38.72
10;1;0.050;-0.950;-3.397;-0.08;-0.32;-0.64;-4.68;-2.22;-39.68;-69.40;-36.13
11;1;0.050;-1.050;-3.422;0.05;-0.16;-0.49;-3.75;-1.77;-34.76;-65.11;-33.39
12;1;0.050;-1.150;-3.446;0.13;-0.05;-0.37;-2.97;-1.35;-30.16;-60.91;-30.48
13;1;0.050;-1.250;-3.471;0.19;0.05;-0.29;-2.34;-0.97;-25.83;-56.53;-27.40
14;1;0.050;-1.350;-3.496;0.26;0.11;-0.26;-1.82;-0.66;-21.85;-51.80;-24.33
15;1;0.050;-1.450;-3.520;0.27;0.13;-0.22;-1.36;-0.50;-18.34;-46.95;-21.62
16;1;0.050;-1.550;-3.545;0.24;0.12;-0.17;-0.96;-0.39;-15.44;-42.52;-19.41
17;1;0.050;-1.650;-3.570;0.22;0.11;-0.12;-0.71;-0.21;-13.29;-38.89;-17.52
18;1;0.050;-1.750;-3.595;0.24;0.11;-0.12;-0.60;0.00;-11.90;-36.05;-15.75
19;1;0.050;-1.850;-3.619;0.27;0.11;-0.13;-0.56;0.16;-11.18;-33.85;-14.09
20;1;0.050;-1.950;-3.644;0.30;0.10;-0.13;-0.54;0.31;-10.95;-32.24;-12.52
21;1;0.150;-0.050;-3.200;-12.56;-8.51;-1.68;47.19;-57.22;-114.39;-187.90;47.91
22;1;0.150;-0.150;-3.224;-11.96;-5.64;0.00;0.00;-40.33;-84.58;-165.18;0.03
23;1;0.150;-0.250;-3.248;-8.66;-3.99;0.26;-11.37;-23.27;-74.25;-134.47;-21.55
24;1;0.150;-0.350;-3.272;-5.55;-2.76;-0.12;-11.46;-13.52;-65.00;-111.10;-28.46
25;1;0.150;-0.450;-3.296;-3.45;-1.83;-0.42;-9.61;-8.25;-56.50;-95.57;-30.97
26;1;0.150;-0.550;-3.320;-2.16;-1.17;-0.59;-7.87;-5.34;-49.07;-85.02;-31.61
27;1;0.150;-0.650;-3.344;-1.32;-0.73;-0.64;-6.47;-3.66;-42.65;-77.68;-31.16
28;1;0.150;-0.750;-3.368;-0.77;-0.44;-0.62;-5.25;-2.68;-37.08;-72.19;-29.91
29;1;0.150;-0.850;-3.392;-0.42;-0.23;-0.54;-4.19;-2.10;-32.21;-67.59;-28.10
30;1;0.150;-0.950;-3.416;-0.20;-0.09;-0.44;-3.28;-1.71;-27.88;-63.29;-26.04
31;1;0.150;-1.050;-3.440;-0.06;0.00;-0.34;-2.50;-1.34;-24.04;-59.20;-23.99
32;1;0.150;-1.150;-3.464;0.02;0.06;-0.26;-1.84;-0.91;-20.73;-55.65;-22.17
33;1;0.150;-1.250;-3.488;0.07;0.11;-0.22;-1.48;-0.45;-17.88;-52.97;-20.57
34;1;0.150;-1.350;-3.512;0.13;0.15;-0.22;-1.37;-0.19;-15.30;-50.72;-18.94
35;1;0.150;-1.450;-3.536;0.16;0.17;-0.21;-1.19;-0.29;-12.93;-47.76;-17.16
36;1;0.150;-1.550;-3.560;0.16;0.15;-0.17;-0.73;-0.41;-10.98;-43.69;-15.36
37;1;0.150;-1.650;-3.585;0.16;0.12;-0.13;-0.44;-0.21;-9.71;-39.41;-13.74
38;1;0.150;-1.750;-3.609;0.18;0.11;-0.12;-0.46;0.10;-9.17;-35.90;-12.40
39;1;0.150;-1.850;-3.633;0.22;0.10;-0.12;-0.52;0.27;-9.20;-33.34;-11.27
40;1;0.150;-1.950;-3.657;0.24;0.08;-0.12;-0.41;0.41;-9.41;-31.63;-10.31
41;1;0.250;-0.050;-3.224;-8.37;-5.94;-0.92;30.67;-24.86;-99.78;-136.83;44.30
42;1;0.250;-0.150;-3.248;-8.66;-3.99;-0.26;11.36;-23.27;-74.27;-134.42;21.58
43;1;0.250;-0.250;-3.271;-6.65;-2.60;0.00;-0.01;-16.10;-58.46;-117.00;0.01
44;1;0.250;-0.350;-3.295;-4.59;-1.72;-0.08;-3.95;-10.38;-48.70;-100.90;-11.78
45;1;0.250;-0.450;-3.318;-3.09;-1.11;-0.23;-4.75;-6.70;-41.51;-88.53;-17.50
46;1;0.250;-0.550;-3.341;-2.01;-0.65;-0.35;-4.53;-4.39;-35.45;-78.97;-20.14
47;1;0.250;-0.650;-3.365;-1.26;-0.34;-0.39;-4.00;-2.94;-30.23;-71.71;-20.99
48;1;0.250;-0.750;-3.388;-0.75;-0.15;-0.38;-3.34;-2.02;-25.88;-66.41;-20.77
49;1;0.250;-0.850;-3.412;-0.44;-0.02;-0.35;-2.67;-1.46;-22.31;-62.46;-19.96
50;1;0.250;-0.950;-3.435;-0.24;0.05;-0.30;-2.05;-1.13;-19.36;-59.11;-18.91
51;1;0.250;-1.050;-3.459;-0.12;0.10;-0.25;-1.50;-0.91;-16.89;-55.91;-17.80
52;1;0.250;-1.150;-3.482;-0.05;0.12;-0.21;-1.11;-0.72;-14.69;-52.75;-16.66
53;1;0.250;-1.250;-3.505;0.00;0.14;-0.18;-1.02;-0.48;-12.56;-49.79;-15.57
54;1;0.250;-1.350;-3.529;0.05;0.15;-0.16;-1.07;-0.11;-10.61;-47.41;-14.56
55;1;0.250;-1.450;-3.552;0.08;0.16;-0.16;-0.92;0.30;-9.26;-45.83;-13.70
56;1;0.250;-1.550;-3.576;0.09;0.15;-0.17;-0.51;0.48;-8.65;-44.55;-12.92
57;1;0.250;-1.650;-3.599;0.10;0.13;-0.17;-0.26;0.34;-8.49;-42.65;-12.18
58;1;0.250;-1.750;-3.623;0.13;0.09;-0.15;-0.38;0.17;-8.44;-39.87;-11.39
59;1;0.250;-1.850;-3.646;0.16;0.06;-0.14;-0.57;0.14;-8.48;-36.78;-10.33
60;1;0.250;-1.950;-3.670;0.20;0.04;-0.13;-0.62;0.04;-8.43;-33.87;-9.01
61;1;0.350;-0.050;-3.249;-5.29;-4.05;0.13;21.15;-13.24;-86.13;-113.87;44.47
62;1;0.350;-0.150;-3.272;-5.54;-2.77;0.12;11.45;-13.52;-65.01;-111.07;28.48
63;1;0.350;-0.250;-3.295;-4.58;-1.72;0.08;3.93;-10.38;-48.70;-100.87;11.80
64;1;0.350;-0.350;-3.317;-3.46;-1.05;0.00;-0.01;-7.29;-38.17;-89.77;0.01
65;1;0.350;-0.450;-3.340;-2.46;-0.60;-0.10;-1.69;-4.99;-30.89;-80.46;-7.01
66;1;0.350;-0.550;-3.363;-1.65;-0.29;-0.18;-2.22;-3.36;-25.38;-72.85;-10.95
67;1;0.350;-0.650;-3.386;-1.06;-0.09;-0.22;-2.19;-2.28;-21.11;-66.59;-12.99
68;1;0.350;-0.750;-3.409;-0.66;0.02;-0.23;-1.92;-1.58;-17.85;-61.70;-13.76
