100	-0.02	18.39	-0.07	0.00	0.05	0.00
100	-0.02	9.98	-0.09	0.01	0.05	0.00
100	-0.04	9.98	-0.06	0.01	0.05	0.00
100	-0.04	18.39	-0.05	0.00	0.05	0.00
101	0.01	18.09	-0.20	0.00	0.05	0.01
101	0.01	9.80	-0.24	0.01	0.05	0.01
101	-0.06	9.80	-0.21	0.01	0.05	0.01
101	-0.06	18.09	-0.17	-0.00	0.05	0.01
102	0.03	17.47	-0.33	0.00	0.05	0.01
102	0.03	9.44	-0.39	0.01	0.05	0.01
102	-0.09	9.44	-0.37	0.01	0.05	0.01
102	-0.09	17.47	-0.30	-0.00	0.05	0.01
103	0.05	16.54	-0.46	0.00	0.05	0.02
103	0.05	8.91	-0.55	0.01	0.04	0.02
103	-0.12	8.91	-0.53	0.01	0.05	0.02
103	-0.12	16.54	-0.43	-0.00	0.05	0.02
104	0.08	15.27	-0.60	0.00	0.04	0.02
104	0.08	8.18	-0.72	0.00	0.04	0.02
104	-0.15	8.18	-0.69	0.01	0.04	0.02
104	-0.15	15.27	-0.57	-0.00	0.05	0.02
105	0.10	13.65	-0.74	0.00	0.04	0.03
105	0.10	7.27	-0.90	0.00	0.03	0.03
105	-0.18	7.27	-0.87	0.00	0.04	0.02
105	-0.18	13.65	-0.72	-0.00	0.04	0.02
106	0.13	11.66	-0.89	0.00	0.03	0.03
106	0.13	6.17	-1.08	0.00	0.03	0.03
106	-0.21	6.17	-1.05	0.00	0.04	0.03
106	-0.21	11.66	-0.86	-0.00	0.04	0.03
107	0.15	9.29	-1.05	0.00	0.02	0.03
107	0.15	4.87	-1.26	-0.00	0.02	0.03
107	-0.23	4.87	-1.23	0.00	0.03	0.03
107	-0.23	9.29	-1.01	-0.00	0.03	0.03
108	0.26	6.59	-1.16	0.00	0.01	0.03
108	0.26	3.36	-1.39	-0.00	0.01	0.03
108	-0.27	3.36	-1.39	-0.00	0.02	0.03
108	-0.27	6.59	-1.16	-0.00	0.02	0.03
109	0.09	3.60	-1.31	0.00	-0.01	0.03
109	0.09	1.61	-1.67	-0.01	-0.01	0.03
109	-0.21	1.61	-1.56	-0.00	0.01	0.03
109	-0.21	3.60	-1.21	-0.00	0.01	0.03
110	0.41	0.60	-1.24	0.00	-0.02	0.03
110	0.41	-0.67	-1.19	-0.01	-0.02	0.03
110	-0.44	-0.67	-1.55	-0.01	-0.00	0.03
110	-0.44	0.60	-1.59	-0.00	-0.01	0.03
111	1.74	-1.97	-1.92	-0.00	-0.04	0.02
111	1.74	-4.85	-3.97	-0.02	-0.04	0.02
111	-0.27	-4.85	-2.44	-0.01	-0.02	0.02
111	-0.27	-1.97	-0.39	-0.00	-0.03	0.02
112	-30.74	-19.20	-8.79	0.00	-0.02	0.02
112	-30.74	-1.41	-5.69	-0.02	-0.04	0.03
112	0.36	-1.41	-7.13	-0.02	-0.04	0.02
112	0.36	-19.20	-10.23	-0.00	-0.04	0.02
113	0.49	-19.94	9.62	-0.00	-0.04	0.03
113	0.49	-1.87	6.39	-0.02	-0.04	0.03
113	-30.86	-1.87	4.95	-0.02	-0.04	0.03
113	-30.86	-19.94	8.18	0.00	-0.02	0.03
114	-0.15	-4.16	-0.20	-0.00	-0.04	0.03
114	-0.15	-6.21	1.72	-0.02	-0.03	0.03
114	1.63	-6.21	3.25	-0.02	-0.04	0.03
114	1.63	-4.16	1.33	-0.00	-0.04	0.03
115	-0.16	-2.88	1.10	0.00	-0.02	0.02
115	-0.16	-3.02	0.92	-0.02	-0.02	0.02
115	0.30	-3.02	0.52	-0.02	-0.03	0.02
115	0.30	-2.88	0.70	-0.00	-0.03	0.02
116	-0.52	-0.96	0.66	-0.01	-0.01	0.01
116	-0.52	-1.87	0.77	-0.02	-0.01	0.02
116	0.14	-1.87	1.02	-0.02	-0.02	0.02
116	0.14	-0.96	0.90	0.00	-0.02	0.01
117	-0.45	-1.08	0.72	-0.02	-0.01	0.01
117	-0.18	0.25	1.27	-0.01	-0.00	0.01
117	-1.44	-1.28	0.34	-0.02	-0.01	0.02
200	-0.18	9.72	-0.18	0.01	0.05	0.00
200	-0.18	1.88	-0.19	0.01	0.04	0.00
200	-0.19	1.88	-0.13	0.01	0.04	0.00
200	-0.19	9.72	-0.11	0.01	0.05	0.00
201	-0.17	9.55	-0.47	0.01	0.04	0.01
201	-0.17	1.84	-0.52	0.01	0.04	0.01
201	-0.20	1.84	-0.45	0.01	0.04	0.01
201	-0.20	9.55	-0.41	0.01	0.05	0.01
202	-0.17	9.20	-0.77	0.01	0.04	0.01
202	-0.17	1.75	-0.85	0.01	0.04	0.01
202	-0.22	1.75	-0.78	0.01	0.04	0.01
202	-0.22	9.20	-0.70	0.01	0.04	0.01
203	-0.17	8.67	-1.08	0.01	0.04	0.02
203	-0.17	1.62	-1.18	0.00	0.04	0.02
203	-0.24	1.62	-1.12	0.01	0.04	0.02
203	-0.24	8.67	-1.01	0.01	0.04	0.01
204	-0.17	7.96	-1.40	0.00	0.04	0.02
204	-0.17	1.45	-1.53	0.00	0.03	0.02
204	-0.26	1.45	-1.46	0.00	0.03	0.02
204	-0.26	7.96	-1.33	0.01	0.04	0.02
205	-0.17	7.07	-1.72	0.00	0.03	0.02
205	-0.17	1.25	-1.89	0.00	0.03	0.02
