Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;6.18;-47.56;-1.26;22.58;-79.41;-71.61;183.91;-34.19
2;1;0.050;-0.150;-3.200;4.65;-2.20;-4.48;2.75;14.53;15.71;100.27;-4.81
3;1;0.050;-0.250;-3.224;2.94;0.57;-2.76;0.90;20.54;14.47;72.76;-3.82
4;1;0.050;-0.350;-3.249;1.68;0.31;-1.90;1.44;14.91;4.76;59.87;-0.51
5;1;0.050;-0.450;-3.274;0.98;-0.15;-1.32;2.30;9.56;-2.23;50.44;2.28
6;1;0.050;-0.550;-3.298;0.61;-0.40;-0.94;2.60;6.16;-6.51;43.10;4.00
7;1;0.050;-0.650;-3.323;0.41;-0.51;-0.66;2.40;4.17;-9.02;37.34;4.79
8;1;0.050;-0.750;-3.348;0.29;-0.52;-0.45;1.92;2.91;-10.34;32.73;4.89
9;1;0.050;-0.850;-3.372;0.22;-0.49;-0.30;1.35;2.03;-10.79;28.90;4.59
10;1;0.050;-0.950;-3.397;0.17;-0.42;-0.19;0.82;1.39;-10.61;25.63;4.13
11;1;0.050;-1.050;-3.422;0.13;-0.35;-0.12;0.36;0.94;-10.02;22.85;3.62
12;1;0.050;-1.150;-3.446;0.11;-0.28;-0.07;0.03;0.63;-9.24;20.51;3.10
13;1;0.050;-1.250;-3.471;0.10;-0.22;-0.04;-0.17;0.41;-8.58;18.50;2.57
14;1;0.050;-1.350;-3.496;0.11;-0.17;-0.02;-0.27;0.22;-8.11;16.66;2.06
15;1;0.050;-1.450;-3.520;0.11;-0.12;-0.01;-0.35;0.01;-7.57;14.81;1.62
16;1;0.050;-1.550;-3.545;0.09;-0.08;0.00;-0.39;-0.18;-6.85;13.02;1.28
17;1;0.050;-1.650;-3.570;0.08;-0.05;0.00;-0.36;-0.30;-6.32;11.51;0.96
18;1;0.050;-1.750;-3.595;0.08;-0.04;0.00;-0.30;-0.36;-6.25;10.29;0.61
