Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
1;1;0.050;-0.050;-3.175;-18.58;-8.38;-10.26;-5.96;-77.65;-104.90;-248.00;8.48
2;1;0.050;-0.150;-3.200;-12.48;-11.02;-1.83;-47.30;-79.96;-115.89;-201.65;-44.26
3;1;0.050;-0.250;-3.224;-8.63;-6.91;-0.86;-31.26;-40.76;-102.10;-155.21;-41.43
4;1;0.050;-0.350;-3.249;-5.82;-4.59;-1.00;-23.08;-22.33;-87.39;-133.66;-42.06
5;1;0.050;-0.450;-3.274;-3.64;-3.02;-1.26;-17.83;-13.48;-75.26;-119.66;-42.94
6;1;0.050;-0.550;-3.298;-2.27;-2.00;-1.31;-14.12;-8.79;-65.55;-109.41;-42.84
7;1;0.050;-0.650;-3.323;-1.36;-1.32;-1.23;-11.31;-6.16;-57.44;-101.25;-41.88
8;1;0.050;-0.750;-3.348;-0.77;-0.86;-1.09;-9.08;-4.54;-50.41;-94.31;-40.20
9;1;0.050;-0.850;-3.372;-0.38;-0.53;-0.91;-7.27;-3.44;-44.14;-88.04;-37.97
10;1;0.050;-0.950;-3.397;-0.14;-0.29;-0.73;-5.76;-2.63;-38.44;-82.10;-35.36
11;1;0.050;-1.050;-3.422;0.01;-0.13;-0.56;-4.51;-1.98;-33.22;-76.29;-32.51
12;1;0.050;-1.150;-3.446;0.11;-0.01;-0.43;-3.48;-1.44;-28.41;-70.52;-29.52
13;1;0.050;-1.250;-3.471;0.18;0.07;-0.34;-2.68;-1.02;-24.00;-64.68;-26.55
14;1;0.050;-1.350;-3.496;0.19;0.11;-0.25;-1.94;-0.74;-20.16;-58.78;-23.83
15;1;0.050;-1.450;-3.520;0.21;0.13;-0.19;-1.32;-0.40;-17.01;-53.30;-21.51
16;1;0.050;-1.550;-3.545;0.24;0.14;-0.18;-1.13;-0.06;-14.60;-48.74;-19.28
17;1;0.050;-1.650;-3.570;0.24;0.14;-0.15;-0.97;0.02;-12.78;-44.93;-17.18
18;1;0.050;-1.750;-3.595;0.26;0.14;-0.15;-0.83;0.12;-11.37;-41.62;-15.20
19;1;0.050;-1.850;-3.619;0.28;0.14;-0.14;-0.77;0.24;-10.44;-38.77;-13.33
20;1;0.050;-1.950;-3.644;0.30;0.13;-0.14;-0.75;0.35;-9.89;-36.40;-11.61
21;1;0.150;-0.050;-3.200;-7.68;-2.12;-4.88;36.98;-18.41;-104.58;-157.96;46.11
22;1;0.150;-0.150;-3.224;-9.71;-4.02;-1.06;16.04;-34.38;-80.51;-158.45;9.60
23;1;0.150;-0.250;-3.248;-7.97;-3.75;-0.72;-1.64;-26.58;-70.78;-139.62;-11.21
24;1;0.150;-0.350;-3.272;-5.51;-2.64;-0.80;-7.57;-16.79;-61.76;-120.60;-19.67
25;1;0.150;-0.450;-3.296;-3.69;-1.78;-0.88;-8.51;-10.42;-53.45;-107.13;-23.57
26;1;0.150;-0.550;-3.320;-2.42;-1.16;-0.90;-7.93;-6.67;-46.23;-97.35;-25.42
27;1;0.150;-0.650;-3.344;-1.54;-0.71;-0.84;-6.84;-4.47;-39.94;-89.76;-25.87
28;1;0.150;-0.750;-3.368;-0.94;-0.41;-0.74;-5.67;-3.12;-34.44;-83.55;-25.39
29;1;0.150;-0.850;-3.392;-0.55;-0.20;-0.62;-4.58;-2.27;-29.61;-78.20;-24.32
30;1;0.150;-0.950;-3.416;-0.29;-0.06;-0.51;-3.62;-1.69;-25.36;-73.35;-22.90
31;1;0.150;-1.050;-3.440;-0.13;0.03;-0.40;-2.80;-1.25;-21.64;-68.82;-21.35
32;1;0.150;-1.150;-3.464;-0.03;0.09;-0.32;-2.17;-0.88;-18.41;-64.60;-19.80
33;1;0.150;-1.250;-3.488;0.04;0.13;-0.26;-1.77;-0.57;-15.69;-60.57;-18.31
34;1;0.150;-1.350;-3.512;0.08;0.14;-0.21;-1.22;-0.39;-13.52;-56.45;-16.99
35;1;0.150;-1.450;-3.536;0.11;0.15;-0.18;-0.95;-0.27;-11.68;-52.24;-15.61
36;1;0.150;-1.550;-3.560;0.14;0.14;-0.16;-0.96;-0.11;-10.14;-48.00;-14.30
37;1;0.150;-1.650;-3.585;0.15;0.13;-0.14;-0.82;0.08;-9.12;-44.25;-12.91
38;1;0.150;-1.750;-3.609;0.18;0.13;-0.13;-0.77;0.25;-8.48;-41.22;-11.54
39;1;0.150;-1.850;-3.633;0.20;0.12;-0.13;-0.77;0.32;-8.15;-38.62;-10.22
40;1;0.150;-1.950;-3.657;0.22;0.10;-0.13;-0.77;0.38;-8.02;-36.27;-8.92
41;1;0.250;-0.050;-3.224;-4.42;-1.90;-2.74;22.38;-0.06;-86.96;-105.34;43.63
42;1;0.250;-0.150;-3.248;-6.30;-1.99;-1.46;18.05;-12.33;-67.88;-118.16;29.58
43;1;0.250;-0.250;-3.271;-5.53;-1.86;-0.87;7.09;-13.61;-53.71;-112.84;11.39
44;1;0.250;-0.350;-3.295;-4.25;-1.41;-0.70;0.06;-10.48;-44.22;-102.98;-0.64
45;1;0.250;-0.450;-3.318;-3.05;-0.95;-0.65;-3.01;-7.26;-37.15;-93.57;-7.52
46;1;0.250;-0.550;-3.341;-2.08;-0.58;-0.61;-3.92;-4.91;-31.29;-85.77;-11.34
47;1;0.250;-0.650;-3.365;-1.37;-0.31;-0.56;-3.84;-3.34;-26.36;-79.50;-13.30
48;1;0.250;-0.750;-3.388;-0.88;-0.13;-0.49;-3.37;-2.34;-22.24;-74.38;-14.09
