element_number;x[m];y[m];t[mm]
719.0;1.25;0.35;73.8815268875
720.0;1.25;0.45;71.9736043897
721.0;1.25;0.55;71.745466654
722.0;1.25;0.65;71.8052850976
723.0;1.25;0.75;71.5373987663
724.0;1.25;0.85;70.9755249256
725.0;1.25;0.95;70.3946983708
726.0;1.25;1.05;69.9510879059
727.0;1.25;1.15;69.5688527569
728.0;1.25;1.25;69.1350592141
729.0;1.25;1.35;68.5756194899
730.0;1.25;1.45;68.0486854219
731.0;1.25;1.55;67.5812604698
732.0;1.25;1.65;67.121655952
733.0;1.25;1.75;66.6309022039
734.0;1.25;1.85;66.1279895179
735.0;1.25;1.95;65.5993398482
736.0;1.35;0.05;89.2805913832
737.0;1.35;0.15;83.1369292401
738.0;1.35;0.25;73.4233797354
739.0;1.35;0.35;69.6771020191
740.0;1.35;0.45;71.1448566685
741.0;1.35;0.55;72.340332821
742.0;1.35;0.65;71.7205382962
743.0;1.35;0.75;70.7147002157
744.0;1.35;0.85;70.1971754516
745.0;1.35;0.95;69.8977913696
746.0;1.35;1.05;69.5055609762
747.0;1.35;1.15;69.0403779903
748.0;1.35;1.25;68.5756460966
749.0;1.35;1.35;68.1186693424
750.0;1.35;1.45;67.5937696136
751.0;1.35;1.55;67.0935667239
752.0;1.35;1.65;66.6074735963
753.0;1.35;1.75;66.1088094585
754.0;1.35;1.85;65.5854486591
755.0;1.35;1.95;65.0561794666
756.0;1.45;0.05;81.3678485362
757.0;1.45;0.15;78.5660568746
758.0;1.45;0.25;71.2549245918
759.0;1.45;0.35;69.2970010533
760.0;1.45;0.45;71.2193163011
761.0;1.45;0.55;72.0130936571
762.0;1.45;0.65;71.0545364134
763.0;1.45;0.75;70.0607806905
764.0;1.45;0.85;69.6666912727
765.0;1.45;0.95;69.3958796478
766.0;1.45;1.05;68.9651082083
767.0;1.45;1.15;68.4902119807
768.0;1.45;1.25;68.0488547221
769.0;1.45;1.35;67.5938914333
770.0;1.45;1.45;67.1042314471
771.0;1.45;1.55;66.5374579747
772.0;1.45;1.65;65.9969924867
773.0;1.45;1.75;65.4612516652
774.0;1.45;1.85;64.9040696339
775.0;1.45;1.95;64.3547557844
776.0;1.55;0.05;70.9867865472
777.0;1.55;0.15;69.6785718015
778.0;1.55;0.25;71.9087363075
779.0;1.55;0.35;72.5072631798
780.0;1.55;0.45;71.3324452192
781.0;1.55;0.55;70.1422627405
782.0;1.55;0.65;69.8667622484
783.0;1.55;0.75;69.894600444
784.0;1.55;0.85;69.5134572734
785.0;1.55;0.95;68.8166375573
786.0;1.55;1.05;68.251374428
787.0;1.55;1.15;67.9181914608
788.0;1.55;1.25;67.5814509267
789.0;1.55;1.35;67.0937114842
790.0;1.55;1.45;66.5374826819
791.0;1.55;1.55;66.0310113914
792.0;1.55;1.65;65.5092919095
793.0;1.55;1.75;64.9828138597
794.0;1.55;1.85;64.418598025
795.0;1.55;1.95;63.8409838322
796.0;1.65;0.05;63.1891052386
797.0;1.65;0.15;62.146556803
798.0;1.65;0.25;72.7277038192
799.0;1.65;0.35;75.7085300333
800.0;1.65;0.45;71.3629342969
801.0;1.65;0.55;68.1126450621
802.0;1.65;0.65;68.586165379
803.0;1.65;0.75;69.7813304065
804.0;1.65;0.85;69.4469359917
805.0;1.65;0.95;68.2513923456
806.0;1.65;1.05;67.5035598062
807.0;1.65;1.15;67.3282808769
808.0;1.65;1.25;67.1217636798
809.0;1.65;1.35;66.6075460239
810.0;1.65;1.45;65.9969603174
811.0;1.65;1.55;65.5092395105
812.0;1.65;1.65;65.1117503976
813.0;1.65;1.75;64.6167056186
814.0;1.65;1.85;64.0541537336
815.0;1.65;1.95;63.4654946315
816.0;1.75;0.05;61.2433118563
817.0;1.75;0.15;60.2257851839
818.0;1.75;0.25;72.1268218462
819.0;1.75;0.35;76.2522909095
820.0;1.75;0.45;71.237634858
821.0;1.75;0.55;67.0731742356
822.0;1.75;0.65;67.6467067746
823.0;1.75;0.75;69.3842016019
824.0;1.75;0.85;69.1744691442
825.0;1.75;0.95;67.7342158386
826.0;1.75;1.05;66.8428225322
827.0;1.75;1.15;66.7444891987
828.0;1.75;1.25;66.6309581792
829.0;1.75;1.35;66.1088395239
830.0;1.75;1.45;65.4611863679
831.0;1.75;1.55;64.9827442646
832.0;1.75;1.65;64.6166885935
833.0;1.75;1.75;64.1874367266
834.0;1.75;1.85;63.6105623063
835.0;1.75;1.95;63.042375322
836.0;1.85;0.05;62.0478388167
837.0;1.85;0.15;61.4721038009
838.0;1.85;0.25;71.5278850534
839.0;1.85;0.35;75.127690017
840.0;1.85;0.45;70.5455077467
841.0;1.85;0.55;66.5769509452
842.0;1.85;0.65;67.1476492699
843.0;1.85;0.75;68.9183808608
844.0;1.85;0.85;68.6924846452
845.0;1.85;0.95;67.1675865783
846.0;1.85;1.05;66.2491777755
847.0;1.85;1.15;66.2032322214
848.0;1.85;1.25;66.1280615673
849.0;1.85;1.35;65.5854879941
850.0;1.85;1.45;64.9040243082
851.0;1.85;1.55;64.4185438862
852.0;1.85;1.65;64.0541447257
853.0;1.85;1.75;63.6105796858
854.0;1.85;1.85;63.0877432316
855.0;1.85;1.95;62.5679260888
856.0;1.95;0.05;62.6714901613
857.0;1.95;0.15;62.438014748
858.0;1.95;0.25;71.0387272671
859.0;1.95;0.35;73.9001396746
860.0;1.95;0.45;69.7717027831
861.0;1.95;0.55;66.2340810349
862.0;1.95;0.65;66.7632421442
863.0;1.95;0.75;68.3734262985
864.0;1.95;0.85;68.112702072
865.0;1.95;0.95;66.6190448652
866.0;1.95;1.05;65.7137436172
867.0;1.95;1.15;65.6685316181
868.0;1.95;1.25;65.5994365843
869.0;1.95;1.35;65.0562365976
870.0;1.95;1.45;64.354727772
871.0;1.95;1.55;63.8409634155
872.0;1.95;1.65;63.4655134105
873.0;1.95;1.75;63.0424216177
874.0;1.95;1.85;62.5679315034
875.0;1.95;1.95;62.1775596317
876.0;0.2;2.2;65.5601938305
877.0;0.2;2.6;64.2941392701
878.0;0.2;3.0;62.843236608
879.0;0.2;3.4;61.374955453
880.0;0.2;3.8;60.3270304152
881.0;0.6;2.2;65.1804609097
882.0;0.6;2.6;63.4754508601
883.0;0.6;3.0;61.7382451874
884.0;0.6;3.4;60.4327981247
885.0;0.6;3.8;60.3898822723
886.0;1.0;2.2;64.7892168427
887.0;1.0;2.6;62.7189540101
888.0;1.0;3.0;61.0779946684
889.0;1.0;3.4;60.7086493394
890.0;1.0;3.8;60.8133886926
891.0;1.4;2.2;63.3305787823
892.0;1.4;2.6;61.5946368885
893.0;1.4;3.0;61.1374485447
894.0;1.4;3.4;61.1469070744
895.0;1.4;3.8;61.1420209754
896.0;1.8;2.2;61.8802208336
897.0;1.8;2.6;61.4169550636
898.0;1.8;3.0;61.4280209052
899.0;1.8;3.4;61.4173427077
900.0;1.8;3.8;61.4077937111
901.0;2.2;0.2;65.5597705833
902.0;2.2;0.6;65.1798402316
903.0;2.2;1.0;64.7890826638
904.0;2.2;1.4;63.3305748415
905.0;2.2;1.8;61.8802270167
906.0;2.2;2.2;61.623314037
907.0;2.2;2.6;61.6356731605
908.0;2.2;3.0;61.6348973647
909.0;2.2;3.4;61.6316567724
910.0;2.2;3.8;61.6293126148
911.0;2.6;0.2;64.2937154253
912.0;2.6;0.6;63.4749270928
913.0;2.6;1.0;62.718845385
914.0;2.6;1.4;61.5946616333
915.0;2.6;1.8;61.4169944884
916.0;2.6;2.2;61.6356809123
917.0;2.6;2.6;61.8103065205
918.0;2.6;3.0;61.8089654736
919.0;2.6;3.4;61.8089575485
920.0;2.6;3.8;61.8091262572
921.0;3.0;0.2;62.8428098514
922.0;3.0;0.6;61.7378431986
923.0;3.0;1.0;61.077885918
924.0;3.0;1.4;61.1374533865
925.0;3.0;1.8;61.4280220648
926.0;3.0;2.2;61.6349058102
927.0;3.0;2.6;61.8089407344
928.0;3.0;3.0;61.9446907591
929.0;3.0;3.4;61.9449365332
930.0;3.0;3.8;61.9449919236
931.0;3.4;0.2;61.3747111212
932.0;3.4;0.6;60.4325059956
933.0;3.4;1.0;60.7086028237
934.0;3.4;1.4;61.1469366486
935.0;3.4;1.8;61.4173736494
936.0;3.4;2.2;61.6316300222
937.0;3.4;2.6;61.808960167
938.0;3.4;3.0;61.9449774487
939.0;3.4;3.4;62.0359441306
940.0;3.4;3.8;62.0355666443
941.0;3.8;0.2;60.3268823221
942.0;3.8;0.6;60.3893146273
943.0;3.8;1.0;60.8132761173
944.0;3.8;1.4;61.1421030007
945.0;3.8;1.8;61.407887478
946.0;3.8;2.2;61.6292517326
947.0;3.8;2.6;61.8091167111
948.0;3.8;3.0;61.9448825647
949.0;3.8;3.4;62.0356548709
950.0;3.8;3.8;62.0816288958
951.0;-0.05;-0.05;309.240154083
952.0;-0.05;-0.15;312.044859901
953.0;-0.05;-0.25;309.55785679
954.0;-0.05;-0.35;289.742321988
955.0;-0.05;-0.45;262.704009795
956.0;-0.05;-0.55;237.108040678
957.0;-0.05;-0.65;213.25816995
958.0;-0.05;-0.75;189.684468517
959.0;-0.05;-0.85;166.369855966
960.0;-0.05;-0.95;144.414726731
961.0;-0.05;-1.05;124.508552709
962.0;-0.05;-1.15;107.846017748
963.0;-0.05;-1.25;96.4715252726
964.0;-0.05;-1.35;89.2752878467
965.0;-0.05;-1.45;81.368400433
966.0;-0.05;-1.55;70.9884164547
967.0;-0.05;-1.65;63.1884645844
968.0;-0.05;-1.75;61.2413827529
969.0;-0.05;-1.85;62.0467606367
970.0;-0.05;-1.95;62.6713246194
971.0;-0.15;-0.05;311.836255022
972.0;-0.15;-0.15;309.302534296
973.0;-0.15;-0.25;292.54009156
974.0;-0.15;-0.35;266.499882807
975.0;-0.15;-0.45;237.846395135
976.0;-0.15;-0.55;212.300245971
977.0;-0.15;-0.65;189.269879905
978.0;-0.15;-0.75;167.368221496
979.0;-0.15;-0.85;146.393683068
980.0;-0.15;-0.95;126.483090393
981.0;-0.15;-1.05;108.000968663
982.0;-0.15;-1.15;93.4410116274
983.0;-0.15;-1.25;85.846892089
984.0;-0.15;-1.35;83.1358689153
985.0;-0.15;-1.45;78.5686090629
986.0;-0.15;-1.55;69.6818215654
987.0;-0.15;-1.65;62.1480033795
988.0;-0.15;-1.75;60.2260859051
989.0;-0.15;-1.85;61.4728731584
990.0;-0.15;-1.95;62.4394350777
991.0;-0.25;-0.05;309.597173679
992.0;-0.25;-0.15;292.51915374
993.0;-0.25;-0.25;261.825464829
994.0;-0.25;-0.35;235.048542965
995.0;-0.25;-0.45;212.877306785
996.0;-0.25;-0.55;189.304575081
997.0;-0.25;-0.65;165.95205963
998.0;-0.25;-0.75;145.06161776
999.0;-0.25;-0.85;127.218784295
1000.0;-0.25;-0.95;111.358197436
1001.0;-0.25;-1.05;97.3704022977
1002.0;-0.25;-1.15;86.4312833534
1003.0;-0.25;-1.25;78.6152768839
1004.0;-0.25;-1.35;73.4217174064
1005.0;-0.25;-1.45;71.2549766949
1006.0;-0.25;-1.55;71.9093462146
1007.0;-0.25;-1.65;72.7273873706
1008.0;-0.25;-1.75;72.1260262083
1009.0;-0.25;-1.85;71.5274004328
1010.0;-0.25;-1.95;71.0386935076
1011.0;-0.35;-0.05;289.922881947
1012.0;-0.35;-0.15;266.509378907
1013.0;-0.35;-0.25;235.030092085
1014.0;-0.35;-0.35;209.10466996
1015.0;-0.35;-0.45;187.750138949
1016.0;-0.35;-0.55;166.920739861
1017.0;-0.35;-0.65;145.585845941
1018.0;-0.35;-0.75;126.39343491
1019.0;-0.35;-0.85;110.583297795
1020.0;-0.35;-0.95;97.8463068783
1021.0;-0.35;-1.05;87.8049225924
1022.0;-0.35;-1.15;80.0696103666
1023.0;-0.35;-1.25;73.8787372235
1024.0;-0.35;-1.35;69.6746948876
1025.0;-0.35;-1.45;69.2951927392
1026.0;-0.35;-1.55;72.505778209
1027.0;-0.35;-1.65;75.7068715337
1028.0;-0.35;-1.75;76.2505760371
1029.0;-0.35;-1.85;75.1262075001
1030.0;-0.35;-1.95;73.898932487
1031.0;-0.45;-0.05;262.771938452
1032.0;-0.45;-0.15;237.8525649
1033.0;-0.45;-0.25;212.875435467
1034.0;-0.45;-0.35;187.759441769
1035.0;-0.45;-0.45;165.839095676
1036.0;-0.45;-0.55;146.22505984
1037.0;-0.45;-0.65;127.83033034
1038.0;-0.45;-0.75;111.091764875
1039.0;-0.45;-0.85;97.0384137235
1040.0;-0.45;-0.95;86.446956506
1041.0;-0.45;-1.05;79.205738344
1042.0;-0.45;-1.15;74.5383044535
1043.0;-0.45;-1.25;71.9734600932
1044.0;-0.45;-1.35;71.144631713
1045.0;-0.45;-1.45;71.2188158503
1046.0;-0.45;-1.55;71.3319259234
1047.0;-0.45;-1.65;71.3625659317
1048.0;-0.45;-1.75;71.2372920321
1049.0;-0.45;-1.85;70.5451942815
1050.0;-0.45;-1.95;69.7714142003
1051.0;-0.55;-0.05;237.04293108
1052.0;-0.55;-0.15;212.271252731
1053.0;-0.55;-0.25;189.309602967
1054.0;-0.55;-0.35;166.939156847
1055.0;-0.55;-0.45;146.234577914
1056.0;-0.55;-0.55;128.037559648
1057.0;-0.55;-0.65;111.870209189
1058.0;-0.55;-0.75;97.7448033609
1059.0;-0.55;-0.85;86.4073353366
1060.0;-0.55;-0.95;78.5363228785
1061.0;-0.55;-1.05;73.969227376
1062.0;-0.55;-1.15;71.9310533454
1063.0;-0.55;-1.25;71.7474038691
1064.0;-0.55;-1.35;72.3419318894
1065.0;-0.55;-1.45;72.0140008878
1066.0;-0.55;-1.55;70.1429555058
1067.0;-0.55;-1.65;68.113508483
1068.0;-0.55;-1.75;67.0740776557
1069.0;-0.55;-1.85;66.5777367054
1070.0;-0.55;-1.95;66.2347478322
1071.0;-0.65;-0.05;213.210147679
1072.0;-0.65;-0.15;189.244071882
1073.0;-0.65;-0.25;165.953487257
1074.0;-0.65;-0.35;145.599327406
1075.0;-0.65;-0.45;127.837307389
1076.0;-0.65;-0.55;111.869676379
1077.0;-0.65;-0.65;97.8804531482
1078.0;-0.65;-0.75;86.627566899
1079.0;-0.65;-0.85;78.8382667262
1080.0;-0.65;-0.95;74.2731886276
1081.0;-0.65;-1.05;72.2059062334
1082.0;-0.65;-1.15;71.7120225554
1083.0;-0.65;-1.25;71.8065945291
1084.0;-0.65;-1.35;71.7216338332
1085.0;-0.65;-1.45;71.0550197457
1086.0;-0.65;-1.55;69.867077831
1087.0;-0.65;-1.65;68.5866652879
1088.0;-0.65;-1.75;67.6473050303
1089.0;-0.65;-1.85;67.1481314831
1090.0;-0.65;-1.95;66.7636051732
1091.0;-0.75;-0.05;189.70544501
1092.0;-0.75;-0.15;167.371003577
1093.0;-0.75;-0.25;145.063960893
1094.0;-0.75;-0.35;126.398243954
1095.0;-0.75;-0.45;111.091063153
1096.0;-0.75;-0.55;97.7395826641
1097.0;-0.75;-0.65;86.6241718219
1098.0;-0.75;-0.75;78.853533575
1099.0;-0.75;-0.85;74.4474417301
1100.0;-0.75;-0.95;72.5657026971
1101.0;-0.75;-1.05;72.0398743414
1102.0;-0.75;-1.15;71.9456983129
1103.0;-0.75;-1.25;71.5373191499
1104.0;-0.75;-1.35;70.7145883109
1105.0;-0.75;-1.45;70.0602916436
1106.0;-0.75;-1.55;69.8940652022
1107.0;-0.75;-1.65;69.7810101279
1108.0;-0.75;-1.75;69.384027432
1109.0;-0.75;-1.85;68.9181609508
1110.0;-0.75;-1.95;68.3731396066
1111.0;-0.85;-0.05;166.402769577
1112.0;-0.85;-0.15;146.404984233
1113.0;-0.85;-0.25;127.222486928
1114.0;-0.85;-0.35;110.585700731
1115.0;-0.85;-0.45;97.0363320529
1116.0;-0.85;-0.55;86.4020921285
1117.0;-0.85;-0.65;78.8346165874
1118.0;-0.85;-0.75;74.4467236955
1119.0;-0.85;-0.85;72.6573661398
1120.0;-0.85;-0.95;72.1593542582
1121.0;-0.85;-1.05;71.9944826249
1122.0;-0.85;-1.15;71.635630632
1123.0;-0.85;-1.25;70.9752203882
1124.0;-0.85;-1.35;70.1968747128
1125.0;-0.85;-1.45;69.6661303071
1126.0;-0.85;-1.55;69.5128709989
1127.0;-0.85;-1.65;69.4465383374
1128.0;-0.85;-1.75;69.174193559
1129.0;-0.85;-1.85;68.6921882996
1130.0;-0.85;-1.95;68.1123501345
1131.0;-0.95;-0.05;144.416838259
1132.0;-0.95;-0.15;126.480520395
1133.0;-0.95;-0.25;111.358979221
1134.0;-0.95;-0.35;97.8496827204
1135.0;-0.95;-0.45;86.4477291776
1136.0;-0.95;-0.55;78.5344380453
1137.0;-0.95;-0.65;74.2720613876
1138.0;-0.95;-0.75;72.5664319949
1139.0;-0.95;-0.85;72.1602661267
1140.0;-0.95;-0.95;72.0868243567
1141.0;-0.95;-1.05;71.6768935301
1142.0;-0.95;-1.15;71.0196474903
1143.0;-0.95;-1.25;70.3949889215
1144.0;-0.95;-1.35;69.8980169925
1145.0;-0.95;-1.45;69.3958555665
1146.0;-0.95;-1.55;68.8165446794
1147.0;-0.95;-1.65;68.2514278326
1148.0;-0.95;-1.75;67.7343131887
1149.0;-0.95;-1.85;67.1676405327
1150.0;-0.95;-1.95;66.6190470831
1151.0;-1.05;-0.05;124.495308206
1152.0;-1.05;-0.15;107.990077634
1153.0;-1.05;-0.25;97.3682892416
1154.0;-1.05;-0.35;87.8083325862
1155.0;-1.05;-0.45;79.2078593808
1156.0;-1.05;-0.55;73.9690565839
1157.0;-1.05;-0.65;72.2061091079
1158.0;-1.05;-0.75;72.0413651197
1159.0;-1.05;-0.85;71.9959225003
1160.0;-1.05;-0.95;71.6773665646
1161.0;-1.05;-1.05;71.1486941499
1162.0;-1.05;-1.15;70.4920151108
1163.0;-1.05;-1.25;69.9516306443
1164.0;-1.05;-1.35;69.5060212694
1165.0;-1.05;-1.45;68.9653246824
1166.0;-1.05;-1.55;68.2515163531
1167.0;-1.05;-1.65;67.5037815359
1168.0;-1.05;-1.75;66.8430791523
1169.0;-1.05;-1.85;66.2493894142
1170.0;-1.05;-1.95;65.7138955459
1171.0;-1.15;-0.05;107.842387055
1172.0;-1.15;-0.15;93.435628838
1173.0;-1.15;-0.25;86.4308494899
1174.0;-1.15;-0.35;80.0725972326
1175.0;-1.15;-0.45;74.5393714346
1176.0;-1.15;-0.55;71.9300027031
1177.0;-1.15;-0.65;71.7115330352
1178.0;-1.15;-0.75;71.9465381068
1179.0;-1.15;-0.85;71.6365403176
1180.0;-1.15;-0.95;71.0197649089
1181.0;-1.15;-1.05;70.4917719446
1182.0;-1.15;-1.15;70.0698913232
1183.0;-1.15;-1.25;69.5691167986
1184.0;-1.15;-1.35;69.0405885606
1185.0;-1.15;-1.45;68.4902335271
1186.0;-1.15;-1.55;67.918175224
1187.0;-1.15;-1.65;67.3283350036
1188.0;-1.15;-1.75;66.7445924445
1189.0;-1.15;-1.85;66.2033005226
1190.0;-1.15;-1.95;65.6685642431
1191.0;-1.25;-0.05;96.4783015406
1192.0;-1.25;-0.15;85.8483015373
1193.0;-1.25;-0.25;78.6172948434
1194.0;-1.25;-0.35;73.8815268875
1195.0;-1.25;-0.45;71.9736043897
1196.0;-1.25;-0.55;71.745466654
1197.0;-1.25;-0.65;71.8052850976
1198.0;-1.25;-0.75;71.5373987663
1199.0;-1.25;-0.85;70.9755249256
1200.0;-1.25;-0.95;70.3946983708
1201.0;-1.25;-1.05;69.9510879059
1202.0;-1.25;-1.15;69.5688527569
1203.0;-1.25;-1.25;69.1350592141
1204.0;-1.25;-1.35;68.5756194899
1205.0;-1.25;-1.45;68.0486854219
1206.0;-1.25;-1.55;67.5812604698
1207.0;-1.25;-1.65;67.121655952
1208.0;-1.25;-1.75;66.6309022039
1209.0;-1.25;-1.85;66.1279895179
1210.0;-1.25;-1.95;65.5993398482
1211.0;-1.35;-0.05;89.2805913832
1212.0;-1.35;-0.15;83.1369292401
1213.0;-1.35;-0.25;73.4233797354
1214.0;-1.35;-0.35;69.6771020191
1215.0;-1.35;-0.45;71.1448566685
1216.0;-1.35;-0.55;72.340332821
1217.0;-1.35;-0.65;71.7205382962
1218.0;-1.35;-0.75;70.7147002157
1219.0;-1.35;-0.85;70.1971754516
1220.0;-1.35;-0.95;69.8977913696
1221.0;-1.35;-1.05;69.5055609762
1222.0;-1.35;-1.15;69.0403779903
1223.0;-1.35;-1.25;68.5756460966
1224.0;-1.35;-1.35;68.1186693424
1225.0;-1.35;-1.45;67.5937696136
1226.0;-1.35;-1.55;67.0935667239
1227.0;-1.35;-1.65;66.6074735963
1228.0;-1.35;-1.75;66.1088094585
1229.0;-1.35;-1.85;65.5854486591
1230.0;-1.35;-1.95;65.0561794666
1231.0;-1.45;-0.05;81.3678485362
1232.0;-1.45;-0.15;78.5660568746
1233.0;-1.45;-0.25;71.2549245918
1234.0;-1.45;-0.35;69.2970010533
1235.0;-1.45;-0.45;71.2193163011
1236.0;-1.45;-0.55;72.0130936571
1237.0;-1.45;-0.65;71.0545364134
1238.0;-1.45;-0.75;70.0607806905
1239.0;-1.45;-0.85;69.6666912727
1240.0;-1.45;-0.95;69.3958796478
1241.0;-1.45;-1.05;68.9651082083
1242.0;-1.45;-1.15;68.4902119807
1243.0;-1.45;-1.25;68.0488547221
1244.0;-1.45;-1.35;67.5938914333
1245.0;-1.45;-1.45;67.1042314471
1246.0;-1.45;-1.55;66.5374579747
1247.0;-1.45;-1.65;65.9969924867
1248.0;-1.45;-1.75;65.4612516652
1249.0;-1.45;-1.85;64.9040696339
1250.0;-1.45;-1.95;64.3547557844
1251.0;-1.55;-0.05;70.9867865472
1252.0;-1.55;-0.15;69.6785718015
1253.0;-1.55;-0.25;71.9087363075
1254.0;-1.55;-0.35;72.5072631798
1255.0;-1.55;-0.45;71.3324452192
1256.0;-1.55;-0.55;70.1422627405
1257.0;-1.55;-0.65;69.8667622484
1258.0;-1.55;-0.75;69.894600444
1259.0;-1.55;-0.85;69.5134572734
1260.0;-1.55;-0.95;68.8166375573
1261.0;-1.55;-1.05;68.251374428
1262.0;-1.55;-1.15;67.9181914608
1263.0;-1.55;-1.25;67.5814509267
1264.0;-1.55;-1.35;67.0937114842
1265.0;-1.55;-1.45;66.5374826819
1266.0;-1.55;-1.55;66.0310113914
1267.0;-1.55;-1.65;65.5092919095
1268.0;-1.55;-1.75;64.9828138597
1269.0;-1.55;-1.85;64.418598025
1270.0;-1.55;-1.95;63.8409838322
1271.0;-1.65;-0.05;63.1891052386
1272.0;-1.65;-0.15;62.146556803
1273.0;-1.65;-0.25;72.7277038192
1274.0;-1.65;-0.35;75.7085300333
1275.0;-1.65;-0.45;71.3629342969
1276.0;-1.65;-0.55;68.1126450621
1277.0;-1.65;-0.65;68.586165379
1278.0;-1.65;-0.75;69.7813304065
1279.0;-1.65;-0.85;69.4469359917
1280.0;-1.65;-0.95;68.2513923456
1281.0;-1.65;-1.05;67.5035598062
1282.0;-1.65;-1.15;67.3282808769
1283.0;-1.65;-1.25;67.1217636798
1284.0;-1.65;-1.35;66.6075460239
1285.0;-1.65;-1.45;65.9969603174
1286.0;-1.65;-1.55;65.5092395105
1287.0;-1.65;-1.65;65.1117503976
1288.0;-1.65;-1.75;64.6167056186
1289.0;-1.65;-1.85;64.0541537336
1290.0;-1.65;-1.95;63.4654946315
1291.0;-1.75;-0.05;61.2433118563
1292.0;-1.75;-0.15;60.2257851839
1293.0;-1.75;-0.25;72.1268218462
1294.0;-1.75;-0.35;76.2522909095
1295.0;-1.75;-0.45;71.237634858
1296.0;-1.75;-0.55;67.0731742356
1297.0;-1.75;-0.65;67.6467067746
1298.0;-1.75;-0.75;69.3842016019
1299.0;-1.75;-0.85;69.1744691442
1300.0;-1.75;-0.95;67.7342158386
1301.0;-1.75;-1.05;66.8428225322
1302.0;-1.75;-1.15;66.7444891987
1303.0;-1.75;-1.25;66.6309581792
1304.0;-1.75;-1.35;66.1088395239
1305.0;-1.75;-1.45;65.4611863679
1306.0;-1.75;-1.55;64.9827442646
1307.0;-1.75;-1.65;64.6166885935
1308.0;-1.75;-1.75;64.1874367266
1309.0;-1.75;-1.85;63.6105623063
1310.0;-1.75;-1.95;63.042375322
1311.0;-1.85;-0.05;62.0478388167
1312.0;-1.85;-0.15;61.4721038009
1313.0;-1.85;-0.25;71.5278850534
1314.0;-1.85;-0.35;75.127690017
1315.0;-1.85;-0.45;70.5455077467
1316.0;-1.85;-0.55;66.5769509452
1317.0;-1.85;-0.65;67.1476492699
1318.0;-1.85;-0.75;68.9183808608
1319.0;-1.85;-0.85;68.6924846452
1320.0;-1.85;-0.95;67.1675865783
1321.0;-1.85;-1.05;66.2491777755
1322.0;-1.85;-1.15;66.2032322214
1323.0;-1.85;-1.25;66.1280615673
1324.0;-1.85;-1.35;65.5854879941
1325.0;-1.85;-1.45;64.9040243082
1326.0;-1.85;-1.55;64.4185438862
1327.0;-1.85;-1.65;64.0541447257
1328.0;-1.85;-1.75;63.6105796858
1329.0;-1.85;-1.85;63.0877432316
1330.0;-1.85;-1.95;62.5679260888
1331.0;-1.95;-0.05;62.6714901613
1332.0;-1.95;-0.15;62.438014748
1333.0;-1.95;-0.25;71.0387272671
1334.0;-1.95;-0.35;73.9001396746
1335.0;-1.95;-0.45;69.7717027831
1336.0;-1.95;-0.55;66.2340810349
1337.0;-1.95;-0.65;66.7632421442
1338.0;-1.95;-0.75;68.3734262985
1339.0;-1.95;-0.85;68.112702072
1340.0;-1.95;-0.95;66.6190448652
1341.0;-1.95;-1.05;65.7137436172
1342.0;-1.95;-1.15;65.6685316181
1343.0;-1.95;-1.25;65.5994365843
1344.0;-1.95;-1.35;65.0562365976
1345.0;-1.95;-1.45;64.354727772
1346.0;-1.95;-1.55;63.8409634155
1347.0;-1.95;-1.65;63.4655134105
1348.0;-1.95;-1.75;63.0424216177
1349.0;-1.95;-1.85;62.5679315034
1350.0;-1.95;-1.95;62.1775596317
1351.0;-0.2;-2.2;65.5601938305
1352.0;-0.2;-2.6;64.2941392701
1353.0;-0.2;-3.0;62.843236608
1354.0;-0.2;-3.4;61.374955453
1355.0;-0.2;-3.8;60.3270304152
1356.0;-0.6;-2.2;65.1804609097
1357.0;-0.6;-2.6;63.4754508601
1358.0;-0.6;-3.0;61.7382451874
1359.0;-0.6;-3.4;60.4327981247
1360.0;-0.6;-3.8;60.3898822723
1361.0;-1.0;-2.2;64.7892168427
1362.0;-1.0;-2.6;62.7189540101
1363.0;-1.0;-3.0;61.0779946684
1364.0;-1.0;-3.4;60.7086493394
1365.0;-1.0;-3.8;60.8133886926
1366.0;-1.4;-2.2;63.3305787823
1367.0;-1.4;-2.6;61.5946368885
1368.0;-1.4;-3.0;61.1374485447
1369.0;-1.4;-3.4;61.1469070744
1370.0;-1.4;-3.8;61.1420209754
1371.0;-1.8;-2.2;61.8802208336
1372.0;-1.8;-2.6;61.4169550636
1373.0;-1.8;-3.0;61.4280209052
1374.0;-1.8;-3.4;61.4173427077
1375.0;-1.8;-3.8;61.4077937111
1376.0;-2.2;-0.2;65.5597705833
1377.0;-2.2;-0.6;65.1798402316
1378.0;-2.2;-1.0;64.7890826638
1379.0;-2.2;-1.4;63.3305748415
1380.0;-2.2;-1.8;61.8802270167
1381.0;-2.2;-2.2;61.623314037
1382.0;-2.2;-2.6;61.6356731605
1383.0;-2.2;-3.0;61.6348973647
1384.0;-2.2;-3.4;61.6316567724
1385.0;-2.2;-3.8;61.6293126148
1386.0;-2.6;-0.2;64.2937154253
1387.0;-2.6;-0.6;63.4749270928
1388.0;-2.6;-1.0;62.718845385
1389.0;-2.6;-1.4;61.5946616333
1390.0;-2.6;-1.8;61.4169944884
1391.0;-2.6;-2.2;61.6356809123
1392.0;-2.6;-2.6;61.8103065205
1393.0;-2.6;-3.0;61.8089654736
